geoname_id,country,region
731384,BU,58
731453,BU,61
731464,BU,40
731549,BU,41
731626,BU,58
731670,BU,65
731675,BU,58
731696,BU,62
731741,BU,44
731771,BU,53
731803,BU,40
731818,BU,55
731882,BU,41
731961,BU,58
731976,BU,48
731978,BU,42
732015,BU,57
732027,BU,40
732031,BU,51
732055,BU,38
732099,BU,50
732118,BU,62
732122,BU,50
732145,BU,58
732205,BU,38
732263,BU,43
732285,BU,57
732310,BU,46
732335,BU,50
732359,BU,62
732452,BU,59
732500,BU,53
732559,BU,38
732720,BU,53
732729,BU,59
732744,BU,48
732770,BU,39
732800,BU,00
732802,BU,39
732825,BU,42
732862,BU,47
732883,BU,49
732888,BU,38
732924,BU,48
732954,BU,58
732995,BU,42
733001,BU,58
733014,BU,58
733069,BU,46
733151,BU,45
733191,BU,38
733216,BU,53
733264,BU,47
733286,BU,48
733309,BU,63
733359,BU,50
733384,BU,50
733433,BU,48
733462,BU,38
733468,BU,42
733474,BU,57
733515,BU,40
733579,BU,39
733597,BU,65
733618,BU,51
733638,BU,44
733650,BU,48
733670,BU,41
733679,BU,55
733716,BU,61
733738,BU,46
781443,AL,45
781988,AL,46
782061,AL,41
782070,AL,45
782632,AL,48
782735,AL,45
782756,AL,46
782890,AL,46
783059,AL,43
783148,AL,45
783263,AL,43
783606,AL,46
783754,AL,00
783770,KV,00
784372,KV,00
784759,KV,00
785238,KV,00
786712,KV,00
786714,KV,00
787456,KV,00
788240,KV,00
789225,KV,00
789455,KV,00
790265,KV,00
792325,KV,00
792565,KV,00
792877,KV,00
823748,AM,09
876123,AO,14
878675,ZI,00
879431,ZI,06
884979,ZI,01
886990,ZI,04
890299,ZI,10
890516,ZI,07
893697,ZI,05
894701,ZI,09
895231,ZI,10
895269,ZI,07
921654,CN,03
921707,MF,00
921721,CN,01
921745,CN,03
921753,CN,01
921772,CN,02
921815,MF,00
921929,CN,00
921941,MF,00
922704,CG,05
922773,CG,05
932035,LT,10
932183,LT,18
932276,LT,12
932416,LT,16
932466,LT,00
932505,LT,14
932521,LT,12
932614,LT,13
932692,LT,00
932698,LT,12
932746,LT,00
932886,LT,11
932987,BC,04
933018,BC,06
933077,BC,11
933088,BC,01
933186,BC,01
933305,BC,06
933331,BC,06
933340,BC,05
933366,BC,11
933390,BC,08
933521,BC,00
933535,BC,01
933677,BC,00
933685,BC,10
933759,BC,03
933773,BC,09
933778,BC,01
933815,BC,03
933860,BC,00
933937,MP,15
933945,MP,17
933947,MP,14
933953,MP,16
933959,MP,16
933970,MP,19
933974,MP,16
933982,MP,12
933988,MP,20
934032,MP,15
934058,MP,16
934072,MP,14
934085,MP,19
934089,MP,12
934091,MP,19
934095,MP,20
934108,MP,14
934126,MP,13
934131,MP,17
934133,MP,15
934152,MP,21
934154,MP,18
934169,MP,14
934184,MP,19
934213,MP,16
934219,MP,15
934229,MP,14
934232,MP,16
934240,MP,14
934262,MP,00
934277,MP,15
934288,MP,15
934292,MP,00
934322,MP,14
934333,MP,16
934347,MP,15
934379,MP,14
934400,MP,15
934479,MP,19
934482,MP,19
934485,MP,20
934488,MP,19
934513,MP,16
934515,MP,17
934517,MP,12
934570,MP,17
934614,MP,20
934631,MP,13
934644,MP,12
934649,MP,19
934660,MP,20
934693,MP,13
934739,MP,19
934750,MP,13
934765,MP,17
934776,MP,12
934778,MP,12
934812,MP,12
1024031,MF,00
1053384,MA,04
1055429,MA,06
1056899,MA,00
1058532,MA,00
1062663,MA,03
1062947,MA,00
1064890,MA,00
1069128,MA,00
1069129,MA,00
1069166,MA,00
1070940,MA,00
1080759,MA,00
1083724,MA,00
1084733,MA,00
1084760,MA,00
1090126,MF,00
1090202,MF,00
1090225,MF,00
1090275,MF,00
1090315,MF,00
1090356,MF,00
1090397,MF,00
1090415,MF,00
1090476,MF,00
1106611,MP,19
1106614,MP,16
1106616,MP,16
1106671,MP,13
1106689,MP,14
1106693,MP,14
1106702,MP,20
1106721,MP,20
1106727,MP,17
1106764,MP,12
1106771,MP,19
1106809,MP,16
1106813,MP,16
1106827,MP,17
1106835,LT,19
1138336,AF,23
1138958,AF,13
1140026,AF,11
1149361,AF,00
1185092,BG,83
1185093,BG,81
1185098,BG,81
1185099,BG,86
1185103,BG,84
1185106,BG,81
1185115,BG,83
1185117,BG,81
1185128,BG,83
1185131,BG,81
1185155,BG,81
1185160,BG,81
1185162,BG,81
1185181,BG,81
1185186,BG,84
1185188,BG,81
1185209,BG,86
1185210,BG,85
1185218,BG,81
1185224,BG,84
1185241,BG,81
1185252,BG,84
1185283,BG,81
1185440,BG,81
1188225,BG,84
1188527,BG,81
1188539,BG,81
1189839,BG,81
1191575,BG,81
1192109,BG,82
1193375,BG,83
1193382,BG,84
1194359,BG,84
1196503,BG,81
1197162,BG,81
1197385,BG,81
1199262,BG,83
1199503,BG,81
1201753,BG,84
1202724,BG,81
1203344,BG,81
1203891,BG,81
1205733,BG,84
1207337,BG,84
1210997,BG,00
1212826,BG,83
1252395,BT,22
1252408,BT,21
1252416,BT,20
1252422,BT,00
1252433,BT,08
1252460,BT,09
1252479,BT,15
1252484,BT,06
1252490,BT,13
1252514,BT,12
1252526,BT,11
1252560,BT,09
1252563,BT,10
1252578,BT,00
1252608,BT,07
1252634,BT,00
1279685,CH,14
1279945,CH,15
1280013,CH,29
1280239,CH,06
1280737,CH,14
1282588,IO,00
1289911,MM,
1293625,MM,
1293960,MM,
1295765,MM,
1296736,MM,
1298482,MM,
1298824,MM,
1301322,MM,
1308465,MM,
1309611,MM,
1309793,MM,
1311874,MM,
1313479,MM,
1313795,MM,
1324570,MM,
1326105,MM,
1327865,MM,
1327995,MM,
1328421,MM,
1336133,BG,84
1336135,BG,82
1336136,BG,85
1336137,BG,85
1336139,BG,84
1336140,BG,82
1336142,BG,84
1336143,BG,83
1336144,BG,81
1337166,BG,83
1337233,BG,83
1337240,BG,83
1337248,BG,81
1337249,BG,81
1337301,BT,05
1337378,BT,19
1337379,BT,14
1337388,BT,17
1348441,BG,81
1349452,BG,81
1462718,BG,84
1529013,CH,13
1529047,CH,13
1529102,CH,13
1529195,CH,13
1529355,CH,13
1529401,CH,13
1529569,CH,13
1545752,MP,23
1545799,MP,23
1547314,HM,00
1547376,CK,00
1547449,MP,23
1548994,CH,04
1551076,CH,30
1551487,CH,18
1554524,CH,01
1783557,CH,15
1783621,CH,18
1783633,CH,25
1783683,CH,32
1783745,CH,32
1783763,CH,11
1783851,CH,10
1783873,CH,09
1783934,CH,09
1783940,CH,02
1784130,CH,09
1784185,CH,29
1784617,CH,09
1784642,CH,04
1784647,CH,02
1784658,CH,09
1784764,CH,02
1784818,CH,24
1784841,CH,29
1784853,CH,30
1784953,CH,25
1784990,CH,30
1785018,CH,07
1785036,CH,15
1785286,CH,25
1785294,CH,09
1785412,CH,23
1785453,CH,25
1785545,CH,02
1785564,CH,10
1785566,CH,09
1785623,CH,07
1785694,CH,29
1785710,CH,29
1785716,CH,04
1785725,CH,30
1785738,CH,24
1785781,CH,26
1785884,CH,11
1785952,CH,02
1785974,CH,24
1786112,CH,30
1786217,CH,11
1786373,CH,09
1786546,CH,12
1786559,CH,24
1786577,CH,03
1786657,CH,21
1786676,CH,09
1786731,CH,25
1786746,CH,08
1786759,CH,04
1786760,CH,04
1786764,CH,12
1786770,CH,32
1786855,CH,25
1787005,CH,10
1787093,CH,25
1787227,CH,04
1787353,CH,24
1787375,CH,23
1787601,CH,25
1787646,CH,28
1787746,CH,04
1787765,CH,26
1787824,CH,04
1787834,CH,32
1787858,CH,03
1787957,CH,23
1788046,CH,09
1788081,CH,01
1788214,CH,09
1788268,CH,12
1788450,CH,24
1788466,CH,09
1788508,CH,04
1788534,CH,09
1788572,CH,09
1788618,CH,25
1788694,CH,04
1788797,CH,12
1788852,CH,06
1788911,CH,09
1788927,CH,10
1789065,CH,26
1789647,CH,32
1789799,CH,02
1789897,CH,09
1789998,CH,02
1790353,CH,26
1790371,CH,12
1790437,CH,30
1790471,CH,11
1790587,CH,12
1790601,CH,09
1790630,CH,26
1790645,CH,07
1790840,CH,16
1790862,CH,02
1790923,CH,20
1790942,CH,02
1791121,CH,11
1791245,CH,07
1791247,CH,12
1791249,CH,20
1791388,CH,02
1791464,CH,02
1791536,CH,25
1791624,CH,26
1791636,CH,26
1791673,CH,25
1791681,CH,25
1792286,CH,07
1792359,CH,01
1792520,CH,22
1792585,CH,07
1792592,CH,18
1792621,CH,01
1792702,CH,01
1792892,CH,15
1792943,CH,28
1792947,CH,28
1793036,CH,25
1793424,CH,28
1793440,CH,11
1793477,CH,07
1793505,CH,02
1793511,CH,24
1793642,CH,16
1793700,CH,30
1793703,CH,04
1793724,CH,25
1793743,CH,04
1793771,CH,07
1793879,CH,12
1793900,CH,32
1793908,CH,07
1794035,CH,23
1794299,CH,32
1794328,CH,24
1794794,CH,25
1794806,CH,21
1794903,CH,12
1795166,CH,07
1795269,CH,18
1795270,CH,18
1795565,CH,30
1795647,CH,02
1795855,CH,02
1795874,CH,30
1795912,CH,24
1795940,CH,30
1796163,CH,26
1796231,CH,23
1796236,CH,23
1796328,CH,25
1796480,CH,26
1796663,CH,07
1796669,CH,09
1796823,CH,10
1796843,CH,15
1796989,CH,30
1797120,CH,07
1797121,CH,30
1797132,CH,25
1797181,CH,10
1797264,CH,02
1797318,CH,29
1797353,CH,07
1797371,CH,03
1797551,CH,15
1797557,CH,09
1797595,CH,10
1797658,CH,07
1797798,CH,23
1797873,CH,04
1797881,CH,09
1797929,CH,25
1797945,CH,30
1798234,CH,23
1798422,CH,09
1798439,CH,23
1798524,CH,23
1798654,CH,03
1798744,CH,21
1798760,CH,15
1798821,CH,25
1798827,CH,09
1798998,CH,32
1799194,CH,32
1799355,CH,21
1799384,CH,02
1799389,CH,29
1799397,CH,02
1799491,CH,32
1799629,CH,23
1799722,CH,04
1799823,CH,23
1799869,CH,16
1799962,CH,04
1800146,CH,32
1800163,CH,03
1800433,CH,09
1800498,CH,25
1800627,CH,32
1800657,CH,22
1800663,CH,29
1800684,CH,09
1801180,CH,30
1801200,CH,04
1801640,CH,32
1801757,CH,02
1801792,CH,09
1801934,CH,09
1801967,CH,32
1801982,CH,32
1802206,CH,01
1802238,CH,11
1802257,CH,02
1802276,CH,07
1802279,CH,07
1802495,CH,03
1802551,CH,25
1802788,CH,30
1802812,CH,11
1802875,CH,11
1803245,CH,02
1803300,CH,16
1803318,CH,25
1803325,CH,11
1803327,CH,29
1803367,CH,25
1803374,CH,02
1803422,CH,02
1803468,CH,24
